LA Code,District,LSOA,LSOA Name,Total Area of All Land Types,Area of Domestic Buildings,Area of Non Domestic Buildings,Area of Road,Area of Path,Area of Rail,Area of Domestic Gardens,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Area of Admin Geography,Quality of Fit Indicator
00CGGG,Arbourthorne,E01007881,Sheffield 034B,556.03,33.03,4.09,69.55,14.07,0,77.57,344.52,0,13.21,0,542.12,2.56
00CGGG,Arbourthorne,E01007976,Sheffield 051B,337.68,32.02,4.54,50.54,3.99,0,91.77,146.05,2,6.78,0,332.21,1.65
00CGGG,Arbourthorne,E01007977,Sheffield 051C,316.16,23.56,4.67,53.11,8.21,0,68.68,145.7,0.56,11.68,0,311.96,1.35
00CGGG,Arbourthorne,E01007982,Sheffield 054A,469.96,34.24,2.46,61.17,9.37,0,94.71,230.85,0.57,36.59,0,444.6,5.7
00CGGG,Arbourthorne,E01008002,Sheffield 054B,238.33,36.45,1.64,44,0.78,0,129.81,6.28,0,19.38,0,265.64,-10.28
00CGGG,Arbourthorne,E01008003,Sheffield 054C,279.19,33.36,0.72,58.64,1.41,0,142.74,36.01,0,6.31,0,280.55,-0.49
00CGGG,Arbourthorne,E01008005,Sheffield 052D,306.11,41.15,2.27,57.84,3.19,3.35,167.84,26.22,0.23,4.02,0,359.6,-14.87
00CGGG,Arbourthorne,E01008006,Sheffield 054D,261.52,35.6,3.53,68.63,1,1.59,127.12,16.83,0.55,6.67,0,259.24,0.88
00CGGG,Arbourthorne,E01008007,Sheffield 060A,602.82,33.1,5.44,72.89,14.38,4.55,103.18,341.04,0.25,27.99,0,602.01,0.13
00CGGG,Arbourthorne,E01008095,Sheffield 043A,809.77,23.84,28.24,86.32,18.32,5.63,31.52,522.45,0.5,92.97,0,827.36,-2.13
00CGGG,Arbourthorne,E01008096,Sheffield 043B,577.99,31.36,31.99,87.89,8.84,0.14,103.37,235.96,0,78.43,0,606.56,-4.71
00CGGG,Arbourthorne,E01008097,Sheffield 043C,397.99,28.81,6.42,53.12,5.93,0,99.52,169.66,1.6,32.93,0,382.76,3.98
00CGGG,Arbourthorne,E01008098,Sheffield 048A,247.6,27.63,12.34,55.27,2.31,0.46,124.79,7.78,0,17.02,0,245.59,0.82
00CGGG,Arbourthorne,E01008099,Sheffield 051E,244.86,25.83,24.72,42.09,0.07,11.89,67.06,11.46,1.33,60.42,0,236.11,3.71
00CGGG,Arbourthorne,E01008100,Sheffield 048B,240.07,23.8,5.2,46.72,2.23,0,100.71,53.32,0,8.11,0,247.26,-2.91
00CGGG,Arbourthorne,E01008101,Sheffield 043D,208.76,25.58,1.75,36.71,5.19,0,89.76,42.5,0,7.28,0,207.95,0.39
00CGGG,Arbourthorne,E01008102,Sheffield 048C,249.83,29.29,10.22,46.9,6.38,0,100.78,37.61,0,18.65,0,265.09,-5.76
00CGGG,Arbourthorne,E01008103,Sheffield 048D,290.84,25.79,0.81,35.36,1.98,0,106.82,118.05,0,2.02,0,259.22,12.2
00CGGH,Beauchief and Greenhill,E01007823,Sheffield 069A,409.25,42.48,7.58,73.78,3.03,0,186.64,78.82,0.13,16.8,0,419.99,-2.56
00CGGH,Beauchief and Greenhill,E01007824,Sheffield 066A,326.26,35.66,0.95,45.23,1.5,0,166.51,71.93,0.13,4.35,0,345.5,-5.57
00CGGH,Beauchief and Greenhill,E01007825,Sheffield 066B,1222.96,49.09,3.77,90.24,12.74,26.17,209.75,808.38,11.81,11,0,1262.58,-3.14
00CGGH,Beauchief and Greenhill,E01007826,Sheffield 066C,1088.59,40.2,3.65,58.3,2.42,34.06,206.14,734.89,3.35,5.57,0,1048.99,3.78
00CGGH,Beauchief and Greenhill,E01007833,Sheffield 064C,1183.63,45.26,5.2,61.47,35.24,0,193.63,798.53,14.03,30.26,0,1168.65,1.28
00CGGH,Beauchief and Greenhill,E01007834,Sheffield 066D,700.46,48.28,11.35,69.35,12.83,0,197.09,340.4,1.18,19.98,0,650.5,7.68
00CGGH,Beauchief and Greenhill,E01007916,Sheffield 069B,262.09,28.61,4.24,35.73,5.43,0,91.37,87.14,0.07,9.5,0,306.25,-14.42
00CGGH,Beauchief and Greenhill,E01007917,Sheffield 071B,950.06,46.68,7.65,61.71,3.83,0,245.06,567.79,0.29,17.05,0,824.8,15.19
00CGGH,Beauchief and Greenhill,E01007919,Sheffield 069C,225.58,29.62,2.91,37.03,9.52,0,87.81,47.81,0,10.88,0,224.93,0.29
00CGGH,Beauchief and Greenhill,E01008080,Sheffield 069D,273.04,36.77,4.13,49.2,2.04,0,145.71,23.83,0,11.35,0,296.87,-8.03
00CGGH,Beauchief and Greenhill,E01008081,Sheffield 070A,320.5,32.16,3.47,53.71,10.52,0,64.78,145.89,0.67,9.3,0,394.36,-18.73
00CGGH,Beauchief and Greenhill,E01008082,Sheffield 070B,438.14,29.98,12.49,58.28,14.2,0,56.35,226.29,0,40.56,0,443.87,-1.29
00CGGH,Beauchief and Greenhill,E01008083,Sheffield 070C,249.91,28.79,4.32,38.91,7.31,0,98.87,46.73,0.13,24.86,0,233.05,7.23
00CGGH,Beauchief and Greenhill,E01008084,Sheffield 070D,297.13,29.38,3.48,56.68,9.88,0,67.72,126.95,0,3.03,0,272.86,8.89
00CGGJ,Beighton,E01008028,Sheffield 056A,473.04,38.29,2.91,66.61,2.76,10.37,140.37,197.5,1.57,12.68,0,543.24,-12.92
00CGGJ,Beighton,E01008029,Sheffield 056B,415.99,29.08,0.45,57.43,2.4,0,142.01,178.47,0.09,6.05,0,496.37,-16.19
00CGGJ,Beighton,E01008030,Sheffield 063A,498.25,34.87,8.22,47.2,2.57,5.02,119.06,250.73,11.68,18.89,0,448.51,11.09
00CGGJ,Beighton,E01008031,Sheffield 061A,269.69,32.23,8.62,39.92,3.45,0,133.91,38.58,0.22,12.76,0,274.4,-1.72
00CGGJ,Beighton,E01008032,Sheffield 056C,278.54,35.33,5.62,36.82,6.76,0,113.8,72.13,0.3,7.79,0,300.5,-7.31
00CGGJ,Beighton,E01008033,Sheffield 061B,644.59,42.39,38.98,82.96,4.68,6.68,142.87,262.05,0,63.98,0,637.51,1.11
00CGGJ,Beighton,E01008034,Sheffield 056D,795.01,39.31,56.21,94.51,9.89,5.47,139.53,381.21,0,68.87,0,814.24,-2.36
00CGGJ,Beighton,E01008035,Sheffield 063B,485.54,33.7,4.38,28.84,4.42,25.37,106.19,272.82,1.75,8.08,0,496.94,-2.3
00CGGJ,Beighton,E01008036,Sheffield 063C,178.42,28.95,0,32.73,1.69,0,109.52,4.68,0,0.85,0,179.18,-0.43
00CGGJ,Beighton,E01008038,Sheffield 061C,315.34,48.35,0.56,61.68,2.28,0,168.67,31.59,0,2.21,0,336.88,-6.39
00CGGJ,Beighton,E01008039,Sheffield 065F,505.62,36.98,2.39,57.54,2.57,6.51,140.26,250.09,0.73,8.56,0,502.77,0.57
00CGGJ,Beighton,E01008040,Sheffield 061D,790.42,41.79,0.53,57.46,7.59,3.32,139.58,536.21,0.34,3.61,0,728.6,8.48
00CGGJ,Beighton,E01008041,Sheffield 063D,1140.72,31.63,91.6,99.06,8.34,25.73,108.82,626.49,3.66,145.39,0,1166.47,-2.21
00CGGK,Birley,E01007835,Sheffield 062A,650.75,33.28,10.47,81.53,1.8,0,150.47,343.95,0.04,29.21,0,602.83,7.95
00CGGK,Birley,E01007836,Sheffield 062B,562.23,38.33,6.91,59.26,2.74,0,164.65,275.84,2.21,12.3,0,560.18,0.37
00CGGK,Birley,E01007837,Sheffield 058A,499.5,31.59,0.58,41.15,10.99,0,81.64,329.7,0.63,3.2,0,432.19,15.57
00CGGK,Birley,E01007838,Sheffield 057A,324.88,28.19,3.27,43.92,1.55,0,132.89,103.86,0.06,11.15,0,350.47,-7.3
00CGGK,Birley,E01007839,Sheffield 057B,350.13,29.5,12.71,64.04,2.3,0,139.53,84.03,0,18.02,0,357.69,-2.12
00CGGK,Birley,E01007840,Sheffield 058B,354.16,36.85,5.74,54.54,4.23,0.9,147.03,91.99,1.18,11.69,0,443.2,-20.09
00CGGK,Birley,E01007841,Sheffield 057C,382.97,29.81,10.69,37.73,2.18,0,140.94,139.27,0.01,22.33,0,451.67,-15.21
00CGGK,Birley,E01007842,Sheffield 057D,628.69,35.37,9.71,55.74,7.28,9.61,151.12,326.94,5.09,27.84,0,644.96,-2.52
00CGGK,Birley,E01007843,Sheffield 062C,438.88,37.12,2.4,68.75,3.99,0,159.22,163.54,0,3.86,0,371.06,18.28
00CGGK,Birley,E01007844,Sheffield 058C,669.29,32.37,4.16,65.69,16.46,2.67,130.54,407.85,6.24,3.31,0,590.88,13.27
00CGGK,Birley,E01007845,Sheffield 058D,378.81,30.21,0.95,45.52,9.04,2.55,68.13,219.82,0.22,2.38,0,363.47,4.22
00CGGK,Birley,E01007846,Sheffield 062D,241.51,32.74,2.59,46.25,0.74,0,138.9,13.87,0,6.43,0,242.56,-0.43
00CGGL,Broomhill,E01007859,Sheffield 036A,278.68,28.89,21.82,44.2,0.82,0,94.26,59.62,0,29.06,0,277.97,0.25
00CGGL,Broomhill,E01007860,Sheffield 036B,288.04,32.33,16.96,48.53,10.89,0,73.47,73.14,0.07,32.65,0,276.17,4.3
00CGGL,Broomhill,E01007863,Sheffield 036C,284.36,39.42,8.58,52.41,1.1,0,85.81,76.09,2.64,18.32,0,279.07,1.9
00CGGL,Broomhill,E01007864,Sheffield 036D,111.95,25.4,9.49,32.99,0.38,0,27.87,7.73,2.03,6.06,0,117.4,-4.64
00CGGL,Broomhill,E01007866,Sheffield 030A,436.91,40.06,60.85,97.94,2.4,1.04,101.59,82.84,0.08,50.11,0,427.83,2.12
00CGGL,Broomhill,E01007867,Sheffield 030B,168.41,29.14,17.48,43.78,0.33,0,53.9,6.59,0,17.2,0,183.76,-8.35
00CGGL,Broomhill,E01007868,Sheffield 030C,291.72,30.94,16.5,51.13,1.49,0,117.7,43.52,0,30.44,0,281.75,3.54
00CGGL,Broomhill,E01008066,Sheffield 028B,99.91,22.42,4.09,28.11,0.22,0,38.82,3.42,0,2.83,0,98.09,1.86
00CGGL,Broomhill,E01008067,Sheffield 030D,283.46,25.13,11.84,37.04,10.18,0,36.13,129.46,16.47,17.2,0,303.41,-6.57
00CGGL,Broomhill,E01008073,Sheffield 030E,258.58,32.87,5.03,48.13,1.2,0,109.09,52.1,0,10.16,0,226.78,14.02
00CGGL,Broomhill,E01008104,Sheffield 036E,360.71,33.61,36.67,55.94,1.29,0,138.53,49.13,0,45.54,0,364.14,-0.94
00CGGL,Broomhill,E01008111,Sheffield 040D,270.81,32.56,15.69,51.29,3.57,0,77.29,65.29,2.48,22.65,0,270.93,-0.05
00CGGM,Burngreave,E01007851,Sheffield 013B,414.12,28.43,3.44,43.02,4.78,0,99.04,230.33,1.16,3.92,0,439.71,-5.82
00CGGM,Burngreave,E01007869,Sheffield 020A,335.85,31.34,6.14,43.77,10.54,0,76.8,140.25,0,27.02,0,343.45,-2.21
00CGGM,Burngreave,E01007870,Sheffield 019A,536.97,34.65,27.04,66.77,15.23,0,145.26,204.75,0.15,43.13,0,546.89,-1.82
00CGGM,Burngreave,E01007871,Sheffield 019B,390.57,37.64,4.56,41.47,8.56,0,115.35,166.91,0,16.09,0,466.63,-16.3
00CGGM,Burngreave,E01007872,Sheffield 020B,469.89,38.51,9.51,63.09,8.61,0,112.74,214.39,1.46,21.58,0,461.25,1.87
00CGGM,Burngreave,E01007873,Sheffield 020C,543.9,35.11,28.79,71.11,6.56,0,80.83,261.33,0,60.16,0,545.94,-0.37
00CGGM,Burngreave,E01007874,Sheffield 022A,247.95,31.61,2.79,51.55,8.14,0,62.27,81.34,0,10.26,0,234.06,5.93
00CGGM,Burngreave,E01007875,Sheffield 022B,262.12,35.29,3.15,75.45,1.54,0.64,70.91,43.43,0,31.7,0,280.84,-6.66
00CGGM,Burngreave,E01007876,Sheffield 022C,3919.6,118.33,773.26,626.96,27.22,173.06,88.38,1072.28,137.89,902.22,0,3960.6,-1.04
00CGGM,Burngreave,E01007877,Sheffield 022D,736.27,34.02,129.05,137.98,2.33,9.96,86.43,158.17,0.51,177.83,0,772.69,-4.71
00CGGM,Burngreave,E01007940,Sheffield 022E,166.88,33.97,3.39,42.04,6.52,0,43.69,29.7,0.14,7.43,0,180.69,-7.64
00CGGM,Burngreave,E01007941,Sheffield 015A,365.08,34.46,16.53,63.03,5.32,0,128.25,92.04,0.04,25.42,0,363.84,0.34
00CGGM,Burngreave,E01007942,Sheffield 020D,435.77,34.54,65.85,52.06,0.79,0,75.68,102.36,0,104.5,0,418.78,4.06
00CGGM,Burngreave,E01007943,Sheffield 019C,299.32,29.58,4.79,57.04,3.01,0,125.11,67.81,0,11.99,0,299.41,-0.03
00CGGM,Burngreave,E01007944,Sheffield 022F,108.8,29.4,3.95,36.38,0,0,35.46,1.18,0,2.43,0,110.58,-1.61
00CGGM,Burngreave,E01007949,Sheffield 020E,208.39,25.62,1.5,24.94,8.86,0,47.86,96.15,0.5,2.96,0,209.48,-0.52
00CGGM,Burngreave,E01008092,Sheffield 012D,597.59,24.14,26.56,54.33,2.47,28.92,88.43,317.14,7.4,48.19,0,663.87,-9.98
00CGGM,Burngreave,E01008094,Sheffield 019D,281.07,23.16,9.32,52.29,1.14,0,105.5,73.14,0.01,16.52,0,407.81,-31.08
00CGGN,Central,E01008070,Sheffield 031A,1153,93.88,321.07,339.27,6.28,6.14,27.73,75.15,24.95,258.53,0,1146.48,0.57
00CGGN,Central,E01008071,Sheffield 031B,386.44,49.69,102.81,121.96,2.1,0,13.03,28.17,0.02,68.67,0,382.24,1.1
00CGGN,Central,E01008105,Sheffield 040A,180.01,30.29,13.53,48.55,0.19,0,48.07,10.48,0,28.9,0,180.23,-0.13
00CGGN,Central,E01008106,Sheffield 040B,281.87,21.5,34,85.15,8.48,0,26.17,48.05,1.42,57.11,0,279.71,0.77
00CGGN,Central,E01008107,Sheffield 040C,107.87,23.33,3.09,26.87,1.37,0,36.44,7.7,0,9.07,0,108.95,-1
00CGGN,Central,E01008108,Sheffield 042A,312.48,36.14,41.21,74.78,2.35,0,28.27,51.97,4.66,73.1,0,319.16,-2.09
00CGGN,Central,E01008109,Sheffield 042B,230.35,38.67,31.05,73.58,3.3,0,42.78,18.84,0.17,21.96,0,234.9,-1.94
00CGGN,Central,E01008110,Sheffield 042C,649.23,54.76,153.27,188.59,2.3,26.9,29.65,37.29,7.23,149.24,0,631.02,2.89
00CGGN,Central,E01008112,Sheffield 042D,220.03,28.85,33.76,56.12,4.66,0,35.53,30.14,2.16,28.8,0,218.92,0.51
00CGGN,Central,E01008113,Sheffield 042E,130.75,36.23,2.79,35.17,0.41,0,49.35,4.51,0,2.29,0,136.91,-4.5
00CGGN,Central,E01008114,Sheffield 031C,309.72,36.15,59.12,103.57,4.57,0,46.2,18.48,0,41.64,0,309.43,0.09
00CGGN,Central,E01008115,Sheffield 031D,153.54,28.42,4.1,37.99,0.3,0,72.5,5.14,0,5.08,0,149.5,2.7
00CGGP,Crookes,E01007951,Sheffield 029A,292.74,35.41,9.57,49.35,0.8,0,106.8,75.82,0,14.99,0,285.48,2.54
00CGGP,Crookes,E01007952,Sheffield 033A,348.29,47.05,2.28,56.51,0.47,0,199.85,34.27,0,7.86,0,350.69,-0.68
00CGGP,Crookes,E01007953,Sheffield 033B,1082.34,50.89,8.72,91.19,6.29,0,205.77,681.59,1.32,36.58,0,1145.13,-5.48
00CGGP,Crookes,E01007954,Sheffield 033C,365.71,45.77,3.49,70.06,1.3,0,192.45,46.57,0.3,5.77,0,370.24,-1.22
00CGGP,Crookes,E01007955,Sheffield 041A,378.37,47.4,6.26,48.87,4.78,0,228.94,24.77,0,17.36,0,397.27,-4.76
00CGGP,Crookes,E01007960,Sheffield 029B,228.08,30.46,2.03,33.79,2.36,0,67.96,90.24,0,1.23,0,230.24,-0.93
00CGGP,Crookes,E01007961,Sheffield 033D,1462,36.65,4.91,87.3,10.27,0,167.55,1114.64,23.02,17.65,0,1454.97,0.48
00CGGP,Crookes,E01007962,Sheffield 029C,115.74,23.96,5.14,27.78,1.13,0,41.38,9.75,0,6.6,0,116.96,-1.04
00CGGP,Crookes,E01008064,Sheffield 028A,125.27,30.72,4.01,32.21,0.31,0,51.74,3.4,0,2.88,0,126.07,-0.64
00CGGP,Crookes,E01008069,Sheffield 028C,108.07,26.33,3.19,25.6,0.48,0,42.05,3.8,0,6.63,0,108.33,-0.24
00CGGP,Crookes,E01008074,Sheffield 028D,127.67,29.34,3.67,29.84,0.06,0,58.34,0.83,0,5.59,0,128.2,-0.41
00CGGP,Crookes,E01008159,Sheffield 029D,180.13,31.32,2.41,31.78,1.63,0,64.88,43.14,0,4.98,0,182.39,-1.24
00CGGQ,Darnall,E01007883,Sheffield 027A,1139.02,45.14,146.58,147.77,5.7,55.17,75.02,401.65,2.39,259.61,0,1174.94,-3.06
00CGGQ,Darnall,E01007902,Sheffield 027B,2465.74,43.58,161.13,170.44,17.07,0,69.76,1743.41,9.38,250.96,0,2508.38,-1.7
00CGGQ,Darnall,E01007903,Sheffield 018A,2502.78,35.54,221.41,166.11,4.45,299.27,120.76,1244.09,1.29,409.86,0,2324.24,7.68
00CGGQ,Darnall,E01007904,Sheffield 018B,1734.7,49.81,305.89,294.51,26.91,22.91,83.07,514.39,60.07,377.15,0,1848.41,-6.15
00CGGQ,Darnall,E01007905,Sheffield 027C,303.43,24.15,20.26,49.01,0.46,2.36,44.49,77.82,0,84.88,0,307,-1.16
00CGGQ,Darnall,E01007906,Sheffield 027D,266.12,26.64,34.4,45.95,4.05,0,67.76,43.76,0,43.57,0,277.84,-4.22
00CGGQ,Darnall,E01007907,Sheffield 032A,432.01,30.8,40.63,59.44,1.68,23.57,100.69,140.82,1.24,33.13,0,419.32,3.03
00CGGQ,Darnall,E01007908,Sheffield 032B,255.73,28.02,4.6,46,3.74,12,132.34,23.94,0,5.09,0,248.39,2.95
00CGGQ,Darnall,E01007909,Sheffield 032C,909.95,41.03,19.05,89.67,2.17,0,124.51,589.31,1.86,42.35,0,994.5,-8.5
00CGGQ,Darnall,E01007910,Sheffield 037A,947.74,42.85,18.26,98.02,13.97,0,132.79,548.18,0.22,93.45,0,938.38,1
00CGGQ,Darnall,E01007911,Sheffield 032D,1007.1,41.67,68.4,103.27,2.79,64.76,144.55,479.95,0,101.7,0,879.55,14.5
00CGGQ,Darnall,E01007913,Sheffield 018C,2708.6,50.4,390.01,303.43,25.98,78.45,42.22,1248.53,157.12,412.46,0,2722.38,-0.51
00CGGQ,Darnall,E01007914,Sheffield 018D,257.08,24.17,21.29,27.73,0.29,0,57.57,67.27,0,58.77,0,267.15,-3.77
00CGGQ,Darnall,E01008014,Sheffield 032E,471.33,35,27.96,74.79,3.53,14.19,121.77,104.34,0.22,89.54,0,466.45,1.04
00CGGQ,Darnall,E01008016,Sheffield 032F,418.62,33.5,4.6,82.85,1.93,0,145.72,130.58,0.18,19.26,0,426.64,-1.88
00CGGQ,Darnall,E01008017,Sheffield 039E,728.85,39.38,15.77,130.19,21.19,0,119.91,364.78,0.47,37.15,0,712.26,2.33
00CGGR,Dore and Totley,E01007915,Sheffield 071A,565.48,48.55,0.52,63.8,0.52,0,220.27,228.29,1.67,1.84,0,565.32,0.03
00CGGR,Dore and Totley,E01007918,Sheffield 071C,489.36,54.93,4.9,59.84,2.02,1.67,257.82,91.98,6.88,9.31,0,510.34,-4.11
00CGGR,Dore and Totley,E01007920,Sheffield 068A,796.58,73.64,12.82,91.09,5.44,0,410.38,160.66,3.02,39.52,0,841.97,-5.39
00CGGR,Dore and Totley,E01007921,Sheffield 068B,775.8,64.6,10.97,83.86,2.09,0,298.91,294.84,0.91,19.62,0,752.14,3.15
00CGGR,Dore and Totley,E01007922,Sheffield 071D,404.95,45.32,0.62,50.54,0.34,15.23,185.61,103.17,0.15,3.96,0,393.99,2.78
00CGGR,Dore and Totley,E01007923,Sheffield 068C,616.77,60.1,4.95,76.64,7.36,10.69,241.9,197.65,8.94,8.53,0,616.8,0
00CGGR,Dore and Totley,E01007924,Sheffield 071E,481.56,34.68,3.77,40.46,2.43,0,153.67,227.48,6.49,12.58,0,480.12,0.3
00CGGR,Dore and Totley,E01007925,Sheffield 068D,1279.55,55.47,6.53,55.05,4.22,0,198.91,927.61,3.5,28.26,0,1298.89,-1.49
00CGGR,Dore and Totley,E01007926,Sheffield 068E,8972.71,87.2,27.23,218.36,6.23,0,409.72,8099.83,22.49,101.64,0,8895.46,0.87
00CGGR,Dore and Totley,E01007933,Sheffield 068F,1881.6,79.69,7.89,130.79,25,0,502.19,1107.79,11.22,17.04,0,1842.32,2.13
00CGGS,East Ecclesfield,E01007887,Sheffield 004A,299.45,35.12,1.07,46.66,6.99,0,119.07,84.3,1.34,4.89,0,283.11,5.77
00CGGS,East Ecclesfield,E01007889,Sheffield 004B,1658.4,78.29,101,120.35,6.19,5.22,219.1,940.98,4.08,183.18,0,1668.3,-0.59
00CGGS,East Ecclesfield,E01007890,Sheffield 004C,257.66,41.26,2.37,40.36,2.24,0,141.71,24.52,0.25,4.94,0,263.03,-2.04
00CGGS,East Ecclesfield,E01007891,Sheffield 004D,1555.35,50.72,10.97,99.12,1.77,17.5,197.79,1131.48,10.32,35.68,0,1512.36,2.84
00CGGS,East Ecclesfield,E01007894,Sheffield 004E,1057.64,35.78,25.91,104.16,8.56,2.05,101.92,710.41,4.84,64.02,0,979.44,7.98
00CGGS,East Ecclesfield,E01007895,Sheffield 004F,316.4,37.18,8.93,50.91,1.38,0,142.11,65.25,-,10.66,0,302.12,4.73
00CGGS,East Ecclesfield,E01007896,Sheffield 004G,225.03,34.04,1.39,35,3.79,0,110.92,32.89,0,7,0,313.45,-28.21
00CGGS,East Ecclesfield,E01007897,Sheffield 005A,994.43,43.91,6.66,46.65,0.92,0,133.75,741.8,0.13,20.6,0,989.7,0.48
00CGGS,East Ecclesfield,E01008053,Sheffield 006A,272.28,29.04,1.07,33.39,4.46,0,134.56,65.35,0,4.43,0,264.22,3.05
00CGGS,East Ecclesfield,E01008056,Sheffield 006B,260.69,32.19,1.31,42.27,0.42,0,158.76,20.05,0,5.68,0,262.78,-0.8
00CGGS,East Ecclesfield,E01008058,Sheffield 006C,438.74,38.92,8.05,56.75,1.88,0,175.45,135.18,0.69,21.82,0,440.34,-0.36
00CGGS,East Ecclesfield,E01008135,Sheffield 005C,5548.98,57.89,175.57,221.53,7.12,14.89,153.14,4636.63,25.76,256.45,0,5575.63,-0.48
00CGGS,East Ecclesfield,E01008137,Sheffield 005D,1169.41,49.63,3.54,71.8,0.92,0,205.47,824.18,0.27,13.6,0,1199.81,-2.53
00CGGS,East Ecclesfield,E01008138,Sheffield 006D,304.83,31.85,6.97,49.22,3.88,0,120.89,76.81,0.43,14.76,0,296.51,2.8
00CGGS,East Ecclesfield,E01008139,Sheffield 006E,357.33,38.08,5.51,49.59,2.31,0,143.88,96.86,0.15,20.94,0,381.67,-6.38
00CGGT,Ecclesall,E01007927,Sheffield 055A,612.35,61.97,3.51,80.1,2.19,0,343.46,111.9,0.68,8.55,0,634.29,-3.46
00CGGT,Ecclesall,E01007928,Sheffield 055B,542.59,60.45,3.23,80.34,0.38,0,357.97,20.94,0.15,19.13,0,527.73,2.82
00CGGT,Ecclesall,E01007929,Sheffield 055C,707.76,49.57,21.81,83.96,5.45,0,216.52,261.7,4.85,63.9,0,688.15,2.85
00CGGT,Ecclesall,E01007930,Sheffield 055D,599.73,51.87,5.65,63.74,1.12,0,269.32,192.8,0.78,14.46,0,615.9,-2.63
00CGGT,Ecclesall,E01007931,Sheffield 047A,311.65,48.23,1.25,56,0.31,0,175.56,19.49,0,10.82,0,335.97,-7.24
00CGGT,Ecclesall,E01007932,Sheffield 055E,913.13,41.46,5.69,87.48,9,2.21,192.52,522.4,28.15,24.23,0,989.5,-7.72
00CGGT,Ecclesall,E01007934,Sheffield 047B,440.19,31.68,1.82,54.21,2.86,0,117.43,211.6,6.84,13.75,0,425.13,3.54
00CGGT,Ecclesall,E01007935,Sheffield 047C,200,31.92,4.33,45.65,0.19,0,43.4,63.95,0.36,10.2,0,200.39,-0.2
00CGGT,Ecclesall,E01007936,Sheffield 047D,152.89,34.3,7.95,41.49,0.12,0,58.65,6.17,0,4.21,0,154.68,-1.16
00CGGT,Ecclesall,E01007937,Sheffield 047E,270.91,35.96,4.48,45.81,3.32,0,138.57,34.25,0.16,8.36,0,281.76,-3.85
00CGGT,Ecclesall,E01007938,Sheffield 047F,394.03,35.45,11.9,44.67,1.22,0,156.94,124.05,0,19.8,0,360.38,9.34
00CGGT,Ecclesall,E01007939,Sheffield 055F,3085.06,52.77,16.83,119.09,13.55,0,251.25,2513.31,14.25,104.01,0,3078.06,0.23
00CGGT,Ecclesall,E01008050,Sheffield 046E,165.07,29.88,9.18,38.96,0.97,0,43.15,30.91,0,12.03,0,161.54,2.19
00CGGU,Firth Park,E01007848,Sheffield 013A,324.47,29.72,8.32,52.04,3.5,0,93.38,114.93,0,22.58,0,338.68,-4.19
00CGGU,Firth Park,E01007849,Sheffield 010A,531.39,38.83,16.24,68.11,3.87,0,126.4,183.48,0,94.46,0,556.38,-4.49
00CGGU,Firth Park,E01007945,Sheffield 015B,279.23,33.46,4.84,65.91,0.24,0,147.02,18.36,0,9.41,0,287.18,-2.77
00CGGU,Firth Park,E01007946,Sheffield 015C,242.03,27.29,0.74,42.79,0,0,116.65,52.08,0,2.48,0,244.99,-1.21
