District,LSOA,All People,Aged under 1 year,Aged 1 year,Aged 2 years,Aged 3 years,Aged 4 years,Aged 5 years,Aged 6 years,Aged 7 years,Aged 8 years,Aged 9 years,Aged 10 years,Aged 11 years,Aged 12 years,Aged 13 years,Aged 14 years,Aged 15 years,Aged 16 years,Aged 17 years,Aged 18 years,Aged 19 years,Aged 20 years,Aged 21 years,Aged 22 years,Aged 23 years,Aged 24 years,Aged 25 years,Aged 26 years,Aged 27 years,Aged 28 years,Aged 29 years,Aged 30 years,Aged 31 years,Aged 32 years,Aged 33 years,Aged 34 years,Aged 35 years,Aged 36 years,Aged 37 years,Aged 38 years,Aged 39 years,Aged 40 years,Aged 41 years,Aged 42 years,Aged 43 years,Aged 44 years,Aged 45 years,Aged 46 years,Aged 47 years,Aged 48 years,Aged 49 years,Aged 50 years,Aged 51 years,Aged 52 years,Aged 53 years,Aged 54 years,Aged 55 years,Aged 56 years,Aged 57 years,Aged 58 years,Aged 59 years,Aged 60 years,Aged 61 years,Aged 62 years,Aged 63 years,Aged 64 years,Aged 65 years,Aged 66 years,Aged 67 years,Aged 68 years,Aged 69 years,Aged 70 years,Aged 71 years,Aged 72 years,Aged 73 years,Aged 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 to 89 years,Aged 90 to 94 years,Aged 95 to 99 years,Aged 100 years and over,,
Broomhill,E01008066,1349,8,5,6,7,5,3,3,3,4,7,4,8,0,4,12,3,3,3,6,69,215,230,156,61,38,27,21,26,17,14,17,17,12,13,15,9,16,5,8,6,8,4,10,3,6,4,7,7,11,7,8,8,4,9,8,6,7,3,4,7,3,0,6,8,3,5,0,0,3,4,0,5,3,7,4,26,28,16,5,3,3,,
Broomhill,E01008067,1487,3,7,5,3,3,3,4,6,5,5,7,3,6,5,3,5,5,6,27,133,304,236,131,61,33,30,26,18,24,20,12,14,10,9,15,13,10,9,8,13,3,5,6,5,9,12,3,5,7,3,5,5,9,5,5,5,0,3,0,0,4,3,3,5,3,5,8,3,3,4,4,6,3,9,4,23,20,22,15,5,0,,
Broomhill,E01008073,1513,18,15,15,17,16,14,16,11,16,12,17,22,10,11,13,16,9,15,15,35,69,83,59,32,35,22,29,37,19,25,26,32,18,16,31,25,28,26,19,28,19,16,11,15,18,14,19,17,23,22,14,22,13,12,13,9,21,19,12,9,14,10,14,13,13,11,13,11,6,6,6,9,9,9,5,21,30,17,6,0,0,,
Broomhill,E01008104,1589,8,10,11,10,8,12,10,10,10,9,15,12,12,8,13,9,7,11,103,225,160,62,68,47,35,36,29,25,24,20,11,16,11,12,8,12,17,17,6,11,15,17,18,21,19,10,9,10,12,11,7,11,12,12,13,15,9,9,7,4,3,11,7,8,10,11,6,0,13,10,12,6,5,8,6,43,22,11,13,3,0,,
Broomhill,E01008111,1513,11,14,4,8,13,8,15,12,8,8,10,11,8,8,6,10,12,15,11,67,164,166,86,48,42,22,31,25,37,23,20,20,20,19,24,24,18,15,18,14,17,16,11,3,14,5,14,15,15,8,3,15,15,19,12,5,13,10,10,11,4,5,3,3,6,6,5,6,7,3,6,6,6,3,8,34,28,23,20,5,0,,
Burngreave,E01007851,1456,12,18,17,21,31,13,30,32,20,27,31,33,24,37,33,36,29,28,38,25,11,17,19,16,15,15,12,11,20,7,15,19,26,19,20,28,32,19,21,17,30,17,21,20,26,20,28,17,22,17,10,16,17,14,16,12,15,13,14,8,9,12,10,5,16,12,8,10,9,9,6,8,8,9,10,42,15,7,0,4,0,,
Burngreave,E01007869,1527,39,21,28,30,30,21,22,38,29,25,26,35,29,26,32,28,35,24,35,34,24,29,18,16,11,20,23,23,23,25,25,20,19,19,25,26,21,21,21,24,27,23,19,20,17,26,24,20,18,25,15,15,9,16,7,11,6,10,7,14,6,11,6,12,10,9,11,7,10,10,6,6,7,6,5,30,22,4,0,0,0,,
Burngreave,E01007870,1572,16,12,16,13,20,22,17,21,20,25,23,16,13,20,15,18,23,27,17,22,16,21,15,18,17,19,19,15,21,18,23,16,23,25,25,36,21,35,23,26,20,28,26,24,20,24,25,19,20,18,12,15,13,19,21,19,6,24,21,22,16,15,15,12,17,18,16,15,5,11,12,13,6,10,13,56,42,47,21,8,0,,
Burngreave,E01007871,1507,19,20,18,26,11,13,20,7,9,10,18,13,9,15,12,13,17,11,10,14,10,16,10,13,17,19,13,17,33,15,25,21,27,25,21,28,25,21,24,15,23,21,14,24,19,12,11,10,21,7,13,12,10,17,16,13,18,15,21,17,13,26,23,15,14,21,31,14,22,14,23,23,19,16,20,73,76,41,17,9,3,,
Burngreave,E01007872,1633,15,27,29,27,16,19,20,18,21,25,20,22,23,18,25,24,22,21,16,13,27,16,21,22,12,22,25,12,26,21,33,31,24,33,28,23,17,26,30,26,16,23,17,16,15,23,20,19,20,21,22,26,17,25,14,15,16,13,16,20,17,15,20,17,5,7,13,17,14,11,20,8,10,14,9,59,52,37,14,4,0,,
Burngreave,E01007873,1492,26,24,22,23,17,21,13,20,21,23,15,20,26,18,17,20,18,25,22,20,21,18,21,20,19,18,26,17,24,28,27,33,25,26,30,30,19,28,15,22,20,22,13,14,14,17,15,17,12,15,18,11,12,15,14,12,13,14,16,10,21,15,17,10,21,20,17,17,11,11,9,13,14,14,12,35,34,20,9,0,0,,
Burngreave,E01007874,1497,25,29,24,21,29,25,21,29,19,33,18,22,25,17,23,22,25,27,17,21,22,19,14,11,18,11,15,13,16,15,21,24,22,18,21,21,29,13,14,28,20,24,20,13,15,14,14,25,15,15,15,11,24,20,14,13,12,13,6,13,12,23,9,13,18,12,21,11,12,10,23,14,13,10,7,49,41,28,11,7,0,,
Burngreave,E01007875,1519,18,28,27,24,22,37,27,23,22,24,28,15,27,29,21,24,31,32,19,32,34,33,21,18,22,24,19,25,20,34,19,35,22,23,28,26,28,14,16,16,18,20,15,20,15,16,14,18,25,12,14,11,15,19,8,9,7,19,7,13,10,15,8,15,13,13,15,11,10,16,11,7,15,12,7,22,26,11,0,0,0,,
Burngreave,E01007876,1589,30,41,21,34,20,15,34,23,23,22,24,23,26,27,18,15,26,18,21,28,34,44,33,28,26,30,26,34,32,34,27,27,27,33,18,24,28,25,20,14,17,20,17,16,23,10,11,16,17,11,16,13,12,12,14,14,15,15,13,14,8,12,11,10,12,18,13,12,6,11,14,11,6,14,12,32,24,9,5,0,0,,
Burngreave,E01007877,1440,25,19,30,33,31,22,26,17,25,15,25,24,20,17,17,17,29,23,23,12,18,20,15,13,24,26,26,18,33,28,28,30,26,25,15,29,17,15,11,16,20,14,10,23,12,10,16,13,19,13,14,15,13,15,12,13,10,10,12,10,12,11,8,14,23,14,20,17,12,14,10,7,7,5,6,37,22,27,13,4,0,,
Burngreave,E01007940,1440,17,31,19,32,21,25,15,24,18,19,18,22,23,28,17,24,19,11,18,19,19,10,16,16,16,14,17,21,24,19,28,19,16,26,27,30,18,18,27,24,17,18,25,11,20,15,13,19,8,23,14,7,13,18,21,16,20,18,11,11,21,17,14,9,15,17,16,14,9,9,18,22,6,8,11,29,33,17,9,3,0,,
Burngreave,E01007941,1630,12,11,23,16,18,16,25,26,23,27,19,26,30,27,23,28,20,21,28,9,15,16,9,15,5,9,16,10,16,20,15,21,22,20,24,22,19,36,36,25,22,27,25,19,13,21,24,17,14,23,20,17,16,16,23,15,18,22,17,20,23,16,18,21,11,14,21,15,21,14,14,21,14,12,10,67,71,48,11,0,0,,
Burngreave,E01007942,1569,23,29,25,33,26,19,27,26,26,29,26,24,35,34,26,37,27,26,42,21,37,13,28,25,40,26,27,24,39,20,22,31,26,26,21,22,11,27,17,24,23,24,18,16,27,14,16,17,16,18,13,12,11,13,16,12,18,9,13,8,15,10,7,14,10,13,15,9,10,4,9,12,7,3,10,12,12,12,4,0,0,,
Burngreave,E01007943,1607,19,22,26,21,23,25,20,27,20,26,26,27,17,25,14,20,15,19,13,19,24,25,23,19,23,27,23,20,15,25,31,18,17,38,23,27,19,29,19,25,10,21,29,12,16,16,19,24,17,16,11,18,18,19,14,17,17,26,16,20,15,11,16,18,12,14,12,14,11,14,14,13,15,20,13,69,41,27,8,0,0,,
Burngreave,E01007944,1508,27,28,30,28,24,26,23,31,26,26,28,21,27,22,28,28,20,27,15,20,26,23,25,20,22,22,30,26,30,28,31,31,19,34,21,29,31,33,17,19,23,19,14,21,13,25,19,19,23,18,16,11,11,7,10,7,3,8,10,12,5,12,14,12,15,14,9,10,6,12,12,8,5,10,7,21,17,8,0,0,0,,
Burngreave,E01007949,1439,20,29,30,19,24,19,27,21,22,29,20,30,21,19,22,23,16,16,21,30,19,18,14,17,17,22,16,26,17,23,27,21,27,24,28,23,19,27,28,17,27,23,16,19,17,14,14,14,19,12,5,15,12,13,29,16,15,8,7,9,4,8,16,8,11,13,15,11,8,7,6,8,4,5,9,35,29,17,27,6,0,,
Burngreave,E01008092,1500,25,24,19,19,20,17,18,9,15,15,17,12,13,13,19,11,9,7,12,20,18,23,32,21,20,20,20,32,37,25,35,24,22,22,33,14,20,25,25,19,16,14,19,9,11,14,8,12,16,12,12,13,17,22,15,20,21,23,20,15,9,13,13,17,11,13,18,10,17,9,11,11,20,21,15,68,63,33,14,4,0,,
Burngreave,E01008094,1329,21,22,20,19,17,23,17,18,18,15,23,19,17,13,20,16,18,13,18,16,17,17,17,16,11,15,9,21,29,31,23,19,16,15,22,22,20,17,20,16,16,15,15,15,21,11,14,12,11,10,13,11,13,27,16,11,20,12,11,12,14,15,15,19,13,23,11,12,15,22,14,14,13,5,12,40,25,18,7,0,0,,
Central,E01008070,1306,14,14,10,12,12,7,14,7,5,4,8,4,13,8,4,4,5,5,42,76,95,73,74,48,45,42,55,26,38,38,33,35,25,24,24,16,19,21,27,16,11,16,8,12,11,8,13,9,10,6,5,8,15,10,8,3,10,8,6,5,0,4,0,3,4,4,3,4,3,4,3,3,3,6,3,17,9,6,3,0,0,,
Central,E01008071,1417,10,5,3,5,3,5,6,3,4,5,3,3,6,4,4,3,6,6,60,179,223,174,134,66,48,32,34,23,21,23,20,14,15,16,20,5,5,21,8,6,18,8,12,8,3,14,3,8,7,7,5,0,5,0,6,3,8,8,3,6,0,4,3,4,0,3,3,4,0,4,4,0,3,3,3,7,5,0,4,0,0,,
Central,E01008105,1498,18,15,18,18,11,9,11,15,14,17,13,15,20,11,17,20,19,22,25,71,100,109,87,44,33,38,33,30,33,33,26,33,23,27,18,16,21,19,18,17,20,18,14,18,11,17,11,12,17,11,5,15,10,7,11,4,6,8,7,9,5,11,9,9,6,6,8,4,6,7,4,3,7,4,9,11,10,5,3,3,0,,
Central,E01008106,1499,30,16,22,11,15,18,11,11,17,9,9,10,8,12,6,11,11,10,16,29,42,33,38,29,24,29,26,39,27,31,40,25,30,22,28,29,17,24,38,18,24,18,15,18,15,20,9,20,9,12,14,16,15,15,12,10,14,9,16,9,11,9,13,15,13,16,11,13,9,15,15,13,16,7,16,64,47,20,9,3,3,,
Central,E01008107,1470,16,21,26,26,26,20,19,16,19,16,23,17,14,14,17,20,23,16,20,33,56,74,48,37,34,29,28,25,26,32,23,24,24,24,16,25,26,22,13,21,16,10,9,15,17,16,13,13,13,16,12,11,15,21,11,7,15,10,10,5,5,10,9,16,7,6,9,4,11,8,5,6,14,6,6,26,22,28,4,4,0,,
Central,E01008108,1424,17,13,16,15,11,14,12,11,15,11,10,16,12,8,9,7,11,17,87,197,101,91,62,37,25,30,20,26,16,28,20,14,20,15,15,18,18,10,14,10,13,12,13,14,8,7,9,10,10,12,9,8,8,10,8,3,6,3,8,9,9,8,7,3,6,10,6,8,12,7,7,4,0,4,6,20,18,10,0,0,0,,
Central,E01008109,1467,12,11,13,20,10,8,14,13,11,17,20,19,18,13,10,17,10,17,24,81,107,74,76,24,31,24,21,32,18,23,25,21,19,16,21,26,12,19,14,15,8,20,14,14,5,10,10,13,10,9,16,13,13,6,17,7,13,11,14,11,16,8,11,13,9,11,10,16,4,11,9,10,12,11,17,30,28,18,10,3,0,,
Central,E01008110,1515,8,6,9,6,5,3,7,8,6,11,8,7,7,10,11,9,13,7,64,173,187,128,115,67,52,25,37,18,17,22,19,15,14,15,23,17,19,11,11,10,6,14,11,12,13,6,7,8,8,9,9,5,3,8,7,7,4,7,4,7,3,6,7,3,6,7,9,5,0,7,9,7,4,5,8,24,29,14,4,3,0,,
Central,E01008112,1436,19,18,28,18,17,16,18,16,23,19,24,29,22,16,10,14,18,22,42,63,89,68,60,36,45,30,25,37,28,39,22,28,15,18,21,14,26,15,16,19,10,10,12,17,15,16,10,6,11,14,6,6,8,7,7,5,5,5,5,9,4,11,9,11,12,0,3,7,6,10,7,8,7,5,3,17,21,8,0,0,0,,
Central,E01008113,1521,25,15,13,21,11,16,22,16,10,15,24,13,17,16,22,17,11,20,22,22,56,60,42,39,29,37,27,46,32,44,41,44,29,31,27,26,23,25,17,19,17,20,26,14,13,17,11,20,19,22,7,9,17,16,15,10,9,10,8,11,7,9,12,9,11,4,6,9,11,12,12,7,6,8,7,24,17,12,5,0,0,,
Central,E01008114,1512,21,20,17,10,21,24,12,27,23,14,15,19,21,15,13,13,18,18,27,57,77,76,67,49,42,44,33,39,34,43,38,46,28,27,19,18,30,29,22,19,20,25,19,12,10,12,10,5,13,10,10,7,13,6,9,7,5,4,7,7,8,4,7,5,3,5,6,10,6,5,5,0,4,5,7,22,8,3,3,0,0,,
Central,E01008115,1460,8,12,9,14,6,12,8,14,10,11,7,13,15,9,14,15,9,17,13,90,171,154,118,48,44,28,34,27,25,29,28,12,19,16,28,9,13,7,14,14,13,13,13,8,7,11,10,15,8,6,9,13,3,10,8,7,7,5,3,7,3,5,4,6,5,3,13,8,5,6,9,7,5,4,6,18,11,12,7,3,0,,
Crookes,E01007951,1511,12,11,15,22,18,20,18,12,9,9,17,15,20,16,13,14,16,15,11,15,35,48,22,25,33,27,28,23,27,27,31,24,36,26,24,24,18,21,28,23,12,24,18,15,20,12,22,17,26,18,12,12,14,14,17,14,10,18,12,9,17,12,9,18,11,17,17,17,12,17,13,12,10,11,13,55,37,26,17,3,3,,
Crookes,E01007952,1533,15,13,17,23,21,26,17,34,22,24,33,19,19,20,24,19,15,21,9,15,11,15,8,15,8,11,6,10,11,15,9,14,17,21,13,19,31,29,35,34,23,37,18,22,27,27,33,23,32,11,12,30,22,21,24,24,30,17,30,14,13,13,12,15,15,16,10,18,16,15,14,12,11,10,18,56,33,13,5,3,0,,
Crookes,E01007953,1539,9,10,9,7,8,6,11,13,8,9,10,13,7,16,12,13,9,16,9,7,8,3,11,9,14,4,8,7,3,8,10,6,11,10,14,11,16,23,28,13,14,13,20,13,14,19,14,24,21,21,20,34,23,33,32,23,23,12,24,25,19,20,20,23,23,24,29,20,27,28,29,22,41,38,27,131,93,65,16,3,0,,
Crookes,E01007954,1599,21,11,15,21,22,22,22,26,29,17,18,22,16,19,22,16,15,16,14,13,3,16,9,13,5,11,17,12,11,21,17,22,20,33,22,21,25,32,34,27,21,34,22,29,26,25,23,29,33,24,18,20,25,32,40,21,21,17,18,13,19,21,10,20,16,10,15,12,8,8,17,15,11,12,13,65,36,27,21,4,0,,
Crookes,E01007955,1410,11,17,12,14,21,15,21,20,16,24,22,21,21,17,23,19,24,21,17,10,14,7,9,6,5,3,4,5,5,3,9,6,18,12,8,19,20,23,24,17,33,25,22,16,20,15,38,24,19,22,17,20,36,20,39,24,22,24,20,21,24,15,14,17,16,24,17,7,12,13,21,17,18,20,10,49,33,17,6,0,0,,
Crookes,E01007960,1555,11,13,7,20,6,9,14,14,7,6,10,9,8,8,10,18,9,12,14,20,65,72,79,73,48,43,42,26,37,32,19,43,25,29,23,26,29,17,18,19,18,14,15,19,17,14,14,11,7,17,20,14,10,14,23,17,14,13,22,9,5,19,20,11,14,10,15,6,11,8,11,10,8,8,7,37,34,19,10,0,0,,
Crookes,E01007961,1523,15,11,18,29,23,18,25,21,16,21,19,22,10,26,22,16,21,27,18,16,6,9,8,19,12,16,18,7,13,15,17,19,28,23,20,19,20,24,29,27,28,31,29,26,28,26,26,24,27,22,19,17,21,16,15,13,21,14,20,21,16,20,16,10,14,15,13,7,9,14,11,17,9,16,16,54,34,28,17,0,0,,
Crookes,E01007962,1444,8,9,14,12,8,7,8,10,5,8,8,6,7,13,6,8,6,9,7,40,103,119,82,62,34,48,34,22,35,25,25,21,16,14,16,17,20,10,21,16,7,14,13,7,9,6,7,8,8,9,7,8,11,10,4,10,6,8,6,8,12,9,6,13,11,12,9,6,11,5,12,9,10,13,12,47,57,58,21,3,3,,
Crookes,E01008064,1598,12,11,17,8,13,12,6,14,9,12,12,9,14,9,14,5,3,6,9,48,136,131,107,92,48,54,46,45,34,27,31,27,28,33,16,33,28,13,12,24,15,26,11,13,17,4,11,8,7,10,12,11,15,8,14,6,14,10,9,8,10,4,10,5,3,3,12,6,7,7,9,8,8,6,5,27,14,14,3,0,0,,
Crookes,E01008069,1510,4,8,8,7,11,3,10,8,6,11,9,7,12,7,8,4,6,10,14,52,161,231,126,78,43,45,31,26,26,29,26,19,16,15,12,10,21,14,12,13,9,12,13,11,8,13,3,7,6,7,14,6,10,15,11,7,7,13,6,12,3,4,9,8,5,5,8,5,7,7,10,8,3,5,4,29,19,11,8,3,0,,
Crookes,E01008074,1470,7,15,14,9,15,10,15,11,17,11,14,10,16,10,10,13,8,8,11,61,97,111,76,58,44,30,49,33,28,15,22,24,27,28,25,23,23,21,15,28,17,9,13,14,15,17,13,11,19,12,18,12,18,16,13,14,12,10,4,6,5,5,7,9,11,5,0,11,6,10,3,11,7,3,0,21,17,8,3,3,0,,
Crookes,E01008159,1497,10,15,18,15,4,14,15,8,11,7,16,6,7,10,9,7,13,9,7,8,20,30,42,34,45,42,43,52,43,42,35,39,37,32,30,26,24,25,24,22,15,12,11,13,13,16,13,16,11,15,10,16,18,18,23,14,17,13,17,23,16,15,17,17,12,14,14,10,16,12,10,15,12,13,8,47,21,20,8,0,0,,
Darnall,E01007883,1527,39,38,47,28,19,37,38,37,35,32,30,25,18,21,24,22,26,22,24,39,41,22,34,21,24,31,23,21,30,27,27,17,26,22,16,23,19,9,16,12,12,12,13,16,18,13,14,13,11,14,9,14,16,8,6,12,7,7,12,13,9,15,5,11,13,16,10,14,13,13,12,7,12,8,10,26,23,4,4,0,0,,
Darnall,E01007902,1585,23,18,18,29,24,17,16,11,17,18,16,9,12,17,17,11,11,11,12,21,20,27,17,20,12,13,16,25,24,31,19,16,28,21,15,19,14,21,13,13,16,16,16,14,14,11,15,21,22,18,17,21,20,20,18,20,22,22,19,25,23,19,24,27,22,26,28,19,16,17,20,16,25,23,22,83,65,28,3,0,0,,
Darnall,E01007903,1416,9,21,24,19,16,23,22,18,18,17,17,19,14,16,17,23,16,19,10,12,23,21,15,18,14,20,18,15,13,27,27,23,28,22,27,19,23,22,13,18,16,19,18,24,15,15,15,16,13,12,20,14,11,19,21,18,15,15,16,21,15,18,24,20,16,10,18,18,13,15,12,4,15,10,17,49,28,22,3,0,0,,
Darnall,E01007904,1543,26,20,18,25,16,25,14,26,20,28,21,27,28,29,23,21,28,19,18,15,22,10,26,11,15,15,15,15,21,21,17,17,18,21,17,22,12,13,18,16,17,18,10,19,14,11,9,18,17,25,17,20,17,16,25,15,15,20,21,21,17,12,18,22,19,22,11,15,16,10,21,23,13,19,17,56,51,36,8,3,0,,
Darnall,E01007905,1540,37,31,36,39,32,40,41,37,31,35,44,35,26,37,39,37,36,20,42,25,25,43,41,31,28,30,29,29,28,22,21,27,22,21,17,22,17,15,19,18,14,16,11,24,9,15,10,8,11,6,14,6,5,8,5,10,8,4,7,6,13,4,12,8,7,10,11,12,9,7,6,5,4,3,3,10,7,4,3,0,0,,
Darnall,E01007906,1496,27,25,25,31,30,27,28,22,32,29,29,26,26,22,28,24,25,23,20,21,18,29,23,16,28,20,13,16,28,23,21,25,16,27,21,19,25,16,16,21,13,11,16,19,20,27,15,14,18,10,15,10,8,10,13,12,14,14,13,16,15,11,19,15,11,15,15,11,15,11,15,9,19,6,9,33,22,13,3,0,0,,
Darnall,E01007907,1593,22,28,35,17,28,29,21,21,22,23,18,29,21,16,20,24,28,22,15,19,27,22,25,13,19,29,27,25,22,38,32,33,26,34,27,22,23,27,29,26,19,23,13,19,15,12,18,15,12,21,15,18,20,17,23,20,19,16,19,13,21,17,15,14,15,10,15,8,10,14,10,7,9,10,11,25,13,29,6,0,3,,
Darnall,E01007908,1471,23,20,24,19,15,23,22,22,17,18,21,16,8,19,16,20,16,10,16,8,14,20,18,12,20,18,22,25,34,31,24,36,30,42,30,36,31,29,25,27,26,20,23,19,11,11,23,19,8,11,14,11,19,17,17,8,21,15,17,11,17,16,18,16,15,10,11,9,15,9,8,9,8,10,6,37,21,22,16,0,0,,
Darnall,E01007909,1623,16,22,23,15,15,15,19,24,24,26,14,15,22,27,19,11,14,20,10,12,10,16,12,18,18,18,19,25,33,18,44,37,25,30,38,38,37,28,27,26,20,33,26,19,14,16,14,12,13,17,25,17,20,19,25,15,26,14,16,15,19,26,17,17,18,11,19,27,17,14,17,14,11,10,20,60,36,14,0,0,0,,
Darnall,E01007910,1489,27,15,17,18,17,18,15,8,18,12,12,13,10,13,11,12,17,13,9,12,8,11,13,12,14,9,14,14,22,20,11,24,19,20,27,16,20,18,10,17,13,20,14,13,17,11,18,14,15,15,13,21,20,21,32,18,26,22,20,18,28,24,24,20,15,17,21,11,13,18,22,18,18,10,12,81,87,49,23,8,3,,
Darnall,E01007911,1447,10,13,17,11,18,20,6,19,14,14,21,10,16,20,16,8,10,14,13,20,14,17,18,8,11,16,11,14,17,22,20,28,23,22,24,21,26,20,33,22,18,20,17,17,23,21,22,21,20,13,22,25,26,24,43,27,27,33,26,14,18,18,17,15,18,22,18,17,16,13,11,16,10,7,11,51,21,7,5,0,0,,
Darnall,E01007913,1410,27,38,31,28,22,35,29,30,25,25,25,26,17,26,22,23,21,13,24,21,28,46,25,18,22,27,25,27,22,29,26,30,33,26,22,20,20,17,18,17,15,5,16,12,22,11,19,9,15,18,13,6,9,13,15,7,6,10,9,7,7,12,6,10,10,11,6,9,5,6,6,9,7,5,6,18,16,10,8,0,0,,
Darnall,E01007914,1368,25,25,26,20,18,29,25,20,35,25,24,22,25,16,19,28,10,19,19,19,28,44,27,26,18,19,16,32,32,34,33,23,21,33,20,17,29,14,23,13,14,14,13,9,14,9,14,12,9,8,16,6,5,10,9,15,11,10,11,12,8,11,9,11,4,8,10,9,10,6,11,9,5,14,8,22,21,15,5,0,0,,
Darnall,E01008014,1488,7,12,14,15,17,12,16,14,21,14,14,10,20,15,15,8,16,18,16,19,12,20,11,6,13,17,12,16,19,18,26,19,24,14,20,15,15,20,10,17,20,19,6,17,11,18,18,13,17,16,16,14,28,15,17,18,15,17,19,12,15,21,24,22,21,21,21,30,15,21,16,15,22,15,15,103,86,49,10,3,0,,
Darnall,E01008016,1431,14,11,13,16,21,12,19,22,13,20,17,20,16,16,18,15,14,19,10,9,7,9,12,17,17,12,14,17,21,27,17,27,13,16,17,26,23,22,26,15,19,19,16,22,17,16,16,14,17,23,17,15,17,20,20,15,26,15,11,11,15,18,11,11,17,16,14,9,17,16,18,8,9,11,16,105,71,24,9,0,0,,
Darnall,E01008017,1533,14,21,15,12,19,17,34,28,23,30,33,26,15,18,27,16,29,19,14,15,13,16,7,12,8,14,16,8,20,12,21,27,22,22,14,15,20,20,23,15,15,21,23,18,17,17,19,16,14,10,20,21,12,27,21,17,16,20,16,16,10,20,15,16,23,19,20,14,12,15,20,17,15,15,13,97,55,25,6,0,0,,
Dore and Totley,E01007915,1447,14,13,10,18,10,10,16,14,19,17,18,18,19,21,16,23,22,15,19,8,6,10,7,7,6,4,6,10,9,16,18,22,19,22,14,10,20,18,20,21,26,22,20,25,25,17,19,20,21,22,22,21,21,24,26,22,18,19,18,24,13,18,18,16,30,23,31,18,20,17,25,23,21,21,10,64,39,17,6,0,0,,
Dore and Totley,E01007918,1626,20,19,8,21,19,19,19,17,23,21,28,26,21,22,21,16,19,24,14,10,12,10,7,10,9,9,12,11,17,11,13,15,18,17,23,26,21,25,21,35,26,26,30,35,25,24,23,13,24,17,18,13,22,28,30,26,19,23,22,20,17,18,20,21,21,18,10,26,20,19,15,26,21,15,12,70,60,34,10,0,0,,
Dore and Totley,E01007920,1617,8,13,16,18,16,20,16,19,21,14,15,26,15,20,14,31,16,19,21,8,11,13,13,9,11,5,6,9,7,8,7,10,7,7,21,16,17,17,27,19,31,30,20,27,33,14,29,19,30,27,32,32,26,38,35,30,32,17,21,13,12,23,18,22,25,25,22,26,17,16,20,13,16,23,15,71,70,36,16,9,0,,
Dore and Totley,E01007921,1580,16,9,8,7,12,16,19,20,19,15,20,20,28,18,19,19,20,19,11,12,6,7,6,4,8,9,6,9,7,9,8,14,12,13,21,26,19,28,23,20,21,20,24,21,25,12,17,27,22,18,15,12,28,26,29,31,27,31,25,26,19,24,24,30,22,19,16,21,20,19,23,16,20,27,28,89,74,38,9,3,0,,
Dore and Totley,E01007922,1488,15,17,17,13,23,15,17,26,14,21,19,16,26,16,27,20,22,25,12,9,13,6,19,11,8,5,11,5,11,7,16,12,13,30,20,21,23,20,23,29,22,12,31,25,29,29,32,34,24,29,28,37,21,40,24,26,24,22,27,20,17,21,23,16,15,19,14,12,10,17,13,15,7,8,7,29,23,13,0,0,0,,
Dore and Totley,E01007923,1697,14,8,19,14,17,14,17,13,19,19,16,22,15,26,20,19,17,19,17,14,12,9,21,7,11,7,4,9,16,16,16,21,18,21,18,27,22,19,32,31,15,23,26,19,33,30,27,35,25,27,31,16,27,31,27,32,17,29,22,21,25,30,30,25,18,19,17,20,18,25,29,22,19,17,19,83,48,32,12,0,0,,
Dore and Totley,E01007924,1495,20,9,10,10,18,11,12,18,17,19,14,13,17,15,20,8,21,19,13,10,10,6,10,7,10,10,12,18,16,12,24,31,23,28,26,22,29,16,30,20,18,27,7,19,21,28,15,23,18,16,19,16,22,23,22,20,21,24,13,22,15,19,22,13,19,14,22,17,18,20,14,11,18,14,16,71,66,33,21,4,0,,
